rank,customer_id,subscription_id,mrr,subscription_amount,interval,next_invoice_date,next_invoice_month,status
1,cus_RyhRaXKQzqau0t,sub_1RHB5fCyexzwFObx23MVQJBx,20000.0,20000.0,month,2025-11-23,November 2025,active
2,cus_T1VnEmXWMQu7J8,sub_1S5Sm8CyexzwFObxtRZ3VrBL,5182.666666666667,1196.0,week,2025-12-02,December 2025,active
3,cus_Ql2xzT7QbuVXmv,sub_1S98PFCyexzwFObxfsD6zkfK,5000.0,5000.0,month,2025-11-19,November 2025,active
4,cus_S2rbg4seatRsX9,sub_1R8luKCyexzwFObxaFyue2nx,5000.0,5000.0,month,2025-11-30,November 2025,active
5,cus_Q1ney1d74uXYQv,sub_1PUEIpCyexzwFObxq2WgouTC,5000.0,5000.0,month,2025-11-19,November 2025,active
6,cus_TF25sjwljOVqyq,sub_1SKPWbCyexzwFObxAs9GDXBX,1500.0,1500.0,month,2025-11-20,November 2025,active
7,cus_QPKCU7M243l8h8,sub_1Rjih5CyexzwFObx0DPW61S8,1500.0,1500.0,month,2025-12-11,December 2025,active
8,cus_Rbc0npDJ8XgNRr,sub_1QifazCyexzwFObxAjIstb7B,1500.0,1500.0,month,2025-11-18,November 2025,active
9,cus_TCoNRtsoq1GUz8,sub_1SGOkwCyexzwFObxJNleLgPF,997.0,997.0,month,2025-12-09,December 2025,active
10,cus_TJabm2HUPKsgOd,sub_1SPn2sCyexzwFObxK5NpiKr3,899.0,899.0,month,2025-12-04,December 2025,active
11,cus_TKIKfd7NBY1M2U,sub_1SNxG0CyexzwFObxvBXVK2FT,899.0,899.0,month,2025-11-30,November 2025,active
12,cus_SjFJAxIVEPdk4D,sub_1RnmoiCyexzwFObxEp3YJRp0,897.0,897.0,month,2025-11-22,November 2025,active
13,cus_TNf58PVWFgddrc,sub_1SSglJCyexzwFObxdThGqvII,799.0,799.0,month,2025-12-12,December 2025,active
14,cus_TIPc83UyrlTkxW,sub_1SO0ErCyexzwFObxTg0TpgAz,797.0,797.0,month,2025-11-30,November 2025,active
